name,rating,reviews,price,category,location,hours,services,actions
Levain Bakery,4.5,502,$1–10,Bakery,840 W Randolph St,Open - Closes 11:30 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Levain Bakery,4.6,301,$1–10,Bakery,408 N Clark St,Open - Closes 11:30 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Magnolia Bakery - Chicago,4.3,"2,719",$1–10,Bakery,108 N State St,Open - Closes 7:30 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Weber's Bakery,4.8,"3,577",$$,Bakery,7055 W Archer Ave,Closes soon - 5 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Jennivee's Bakery & Cafe,4.6,"1,134",$10–20,Bakery,2925 N Halsted St,Open - Closes 8 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Panaderia Nuevo Leon,4.6,930,$1–10,Bakery,1634 W 18th St,Open - Closes 8 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Sweet Mandy B's Bakery,4.6,580,$1–10,Bakery,1208 W Webster Ave,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Lutz Bakery,4.4,866,$$,Bakery,2458 W Montrose Ave,Open - Closes 8 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Lost Larson (Andersonville),4.5,895,$10–20,Bakery,5318 N Clark St,Closed - Opens 7 AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
The Bakehouse Chicago,4.5,217,$10–20,Bakery,2009 W Roscoe St,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Brown Sugar Bakery,4.4,"2,000",$$,Bakery,328 E 75th St,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
The Bakehouse Chicago,4.5,91,$10–20,Bakery,3915 N Sheridan Rd,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Paris Baguette,4.5,375,$10–20,Bakery,325 E Illinois St,Open - Closes 8 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Wake N Bakery Chicago Downtown,4.8,754,,Bakery,38 E Ontario St,Open - Closes 10 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Tous Les Jours,4.4,329,$10–20,Bakery,1726 W Division St,Open - Closes 10 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Kristoffer's Cakes,4.8,265,$$$,Bakery,1735 W 35th St,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Bittersweet Pastry Shop & Cafe,4.4,471,$$,Pastries,1114 W Belmont Ave,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Alliance Bakery — Division,4.2,508,$10–20,Bakery,1736 W Division St,Open - Closes 9 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Racine Bakery,4.7,730,$10–20,Bakery,6216 S Archer Ave,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Sugar Moon,4.9,280,$10–20,Bakery,3612 W Wrightwood Ave,Closed - Opens 9 AM Fri,"['Dine-in', 'Takeout', 'Delivery']",[]
Blazed Bakery,5.0,312,$10–20,Bakery,2415 N Milwaukee Ave,Open - Closes 9 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Roeser's Bakery,4.5,"2,122",$$,Bakery,3216 W North Ave,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
"Goddess and the Baker, 33 S Wabash-Millennium Park",4.3,"2,660",$10–20,Bakery,33 S Wabash Ave,Closed - Opens 7 AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
